id_ruangan,name,nama_gedung,kapasitas,is_lab
1,1,GEDUNG LAMA R - 1,50,False
2,10,GEDUNG LAMA R - 10,50,False
3,101,GEDUNG BARU R,50,False
4,102,GEDUNG BARU R,50,False
5,107,GEDUNG BARU R - 107,50,False
6,108,GEDUNG BARU R - 108,50,False
7,12,GEDUNG LAMA R - 12,40,False
8,15,GEDUNG LAMA R - 15,50,False
9,16,GEDUNG LAMA R - 16,50,False
10,17,GEDUNG LAMA R - 15,50,False
11,18,GEDUNG LAMA R - 18,50,False
12,2,GEDUNG LAMA R - 2,50,False
13,201,GEDUNG BARU - LAB KOM 201,24,True
14,202,GEDUNG BARU - LAB KOM 202,24,True
15,203,GEDUNG BARU - LAB KOM 203,24,True
16,204,GEDUNG BARU - LAB KOM 204,24,True
17,205,GEDUNG BARU R - 205,20,True
18,206,GEDUNG BARU R - 206,25,True
19,209,GEDUNG BARU R - 209,50,True
20,210,GEDUNG BARU,50,True
21,211,GEDUNG BARU,50,True
22,212,GEDUNG BARU,50,True
23,213,GEDUNG BARU,50,True
24,214,GEDUNG BARU,50,True
25,215,GEDUNG BARU,50,True
26,216,GEDUNG BARU,50,True
27,217,GEDUNG BARU,50,True
28,218,GEDUNG BARU,50,True
29,219,GEDUNG BARU,50,True
30,22,GEDUNG LAMA R - 22,50,False
31,28,GEDUNG LAMA R - 28,50,False
32,3,GEDUNG LAMA R - 3,50,False
33,301,GEDUNG BARU R - 301,50,False
34,302,GEDUNG BARU R - 302,50,False
35,303,GEDUNG BARU R - 303,50,False
36,304,GEDUNG BARU R - 304,50,False
37,305,GEDUNG BARU R - 305,50,False
38,306,GEDUNG BARU R - 306,50,False
39,307,GEDUNG BARU R - 307,50,False
40,308,GEDUNG BARU R - 308,50,False
41,309,GEDUNG BARU R - 309,50,False
42,310,GEDUNG BARU R - 310,50,False
43,311,GEDUNG BARU R - 311,50,False
44,312,GEDUNG BARU R - 312,50,False
45,315,GEDUNG BARU R - 315,50,False
46,4,GEDUNG LAMA R - 4,50,False
47,401,GEDUNG BARU R - 401,50,False
48,402,GEDUNG BARU R - 402,50,False
49,403,GEDUNG BARU R - 403,50,False
50,404,GEDUNG BARU R - 404,50,False
51,405,GEDUNG BARU R - 405,50,False
52,406,GEDUNG BARU R - 406,50,False
53,407,GEDUNG BARU R - 407,50,False
54,408,GEDUNG BARU R - 408,50,False
55,409,GEDUNG BARU R - 409,50,False
56,410,GEDUNG BARU R - 410,50,False
57,411,GEDUNG BARU R - 411,50,False
58,412,GEDUNG BARU R - 412,50,False
59,5,GEDUNG LAMA R - 5,50,False
60,6,GEDUNG LAMA R - 6,50,False
61,7,GEDUNG LAMA R - 7,50,False
62,8,GEDUNG LAMA R - 8,50,False
63,9,GEDUNG LAMA R - 9,50,False
64,A09,GEDUNG LAMA R - A09,14,False
65,B09,GEDUNG LAMA R - B09,16,False
66,B33,GEDUNG LAMA R - B33,20,False
67,B39,GEDUNG LAMA R - B39,40,False
68,B40,GEDUNG LAMA R - B40,40,False
